"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
ABBYWRG IN Equity,11449.27,,1168264,ADITYA B SL BAL BHAV WEAL-RG,India,Open-End Fund,19.56,2.15,-1.758,0.721,13.064,-3.645,42.982,15.71,0.641,15.343,34.433,0,,0.929,0,0.766,2388,-11.655,-0.108
ABESGRG IN Equity,6314.661,,1513161,ADIT BIR SL ESG INTGT STG-RG,India,Open-End Fund,17.58,2.44,-0.509,0.342,9.806,-0.284,44.93,,0.59,15.53,33.653,,,0.893,,0.858,1281,-1.138,0.063
ABIDFDG IN Equity,6382.089,,1286769,AB SL NIF IND DEF IN-DIR GRW,India,Open-End Fund,10.762,0.31,-5.884,-12.123,40.827,,,,,,87.51,,,,,0.461,359,,
ABIPFE1 IN Equity,17895.619,,2970378,ADIT B SCHEME E TIER 1,India,Open-End Pension,28.077,,-0.868,-0.991,10.061,-3.116,49.06,19.902,0.735,14.675,26.837,,,,,1.145,2388,,
ABIPFE2 IN Equity,507.09,,3241111,ADIT B SCHEME E TIER 2,India,Open-End Pension,28.483,,-0.69,-0.473,10.652,-2.134,50.481,20.333,0.963,14.471,28.883,,,,,1.112,2388,,
ABMCFRG IN Equity,65083.184,,650447.687,ADITYA BSL MULTI-CAP FUND-RG,India,Open-End Fund,19.38,1.82,-1.274,2.377,14.269,-1.724,58.592,,0.857,17.791,,1,,0.909,0,0.563,1570,-6.326,-0.037
ABN50RG IN Equity,3761.305,,2800376,ADITYA BIRLA NIFTY 50 EQL-RG,India,Open-End Fund,17.627,1.02,0.809,0.533,11.07,-2.422,55.107,,0.773,14.852,26.036,0,,0.998,0,1.406,1539,-5.72,-0.1
ABNEQTG IN Equity,26503.621,,3313740,BAR BNP PARI LAR CAP FN-RG,India,Open-End Fund,217.748,1.97,-0.278,-0.404,9.712,-4.965,54.495,19.662,0.827,14.381,51.85,1,,0.813,0,1.05,7639,-5.202,0.144
ABNFULG IN Equity,21834.844,,601543.5,BAR BNP PARI MUIS CAP-RG,India,Open-End Fund,99.753,2,-0.578,1.234,12.378,-4.96,69.175,27.263,1.099,16.341,21.097,1,,0.837,0,0.874,7048,24.307,0.584
ABNMCRG IN Equity,3794.307,,622372.812,ABSL NIFTY M-CAP 150 FUND-RG,India,Open-End Fund,23.201,1.01,-1.769,0.646,14.505,-3.407,78.38,,1.148,19.042,29.826,0,,1,0,0.741,1604,-4.897,-0.077
ABNSCRG IN Equity,2494.606,,250310.797,ABSL NIFTY SMALLCAP FUND-RG,India,Open-End Fund,20.084,1.01,-4.447,-0.469,13.259,-7.531,87.612,,1.078,22.898,102.667,0.5,,0.997,0,0.668,1604,-15.076,-0.212
ABNTAXG IN Equity,9111.471,,1390051,BARODA BNP PB ELSS TX SVR-RG,India,Open-End Fund,94.735,2.22,-0.019,1.933,12.619,-0.004,63.239,20.093,0.92,15.96,42.267,0,,0.937,0,0.631,7163,8.602,0.168
ABQNTDG IN Equity,24411.52,,1078097,ADITYA BIR SL QUANT-DIR GROW,India,Open-End Fund,9.55,0.52,-0.624,2.139,12.618,-7.461,,,,18.515,31.439,,,,,0.666,422,,
ABSCYRG IN Equity,17585.504,,801818.5,ABSL BUSINESS CYCLE FUND-RG,India,Open-End Fund,14.82,2.14,-1.789,-0.269,10.515,-3.074,45.152,,0.636,14.817,31.03,,,0.945,,0.728,1356,-8.44,-0.116
ABSLBDG IN Equity,,,,AB SUN LIF BSE500 M50 IND-DG,India,Open-End Fund,10.188,,,,,,,,,,,,,,,,16,,
ABSLCRG IN Equity,16040.945,,2236295,ADITYA BIRLA SUN LF CONGL-RG,India,Open-End Fund,10.41,2.06,-0.573,-2.254,9.464,,,,,,37.428,,,,,0.736,240,,
ABSPHRG IN Equity,8716.896,,647338.875,ADITY BIRLA SL PRM HLCR RG,India,Open-End Fund,31.28,2.3,-1.356,4.232,11.475,0.482,85.198,19.436,1.106,16.653,32.117,1,,0.967,0,0.589,2239,-12.17,-0.172
ABSPORG IN Equity,8005.026,,984385,ADITYA BIRLA SL SPEC-RG,India,Open-End Fund,24.54,2.38,0.368,2.893,13.506,0.78,60.392,,0.884,14.496,46.347,,,0.979,,0.765,1281,6.8,0.111
ABSTLDG IN Equity,14918.639,,2236295,ADITY BIR SL TRAS LOGI FD-DG,India,Open-End Fund,14.82,0.72,4.44,8.175,20,-4.756,,,,19.985,27.608,,,,,0.776,645,,
ADBSBFG IN Equity,323.287,,2268266,ADITYA BRL SL BSE IN INFR-DG,India,Open-End Fund,8.993,0.42,-2.79,-4.587,10.38,,,,,,24.496,,,,,1.777,265,,
ADBSLCF IN Equity,1087.9,,,ADITY BIRLA SLI SMAL CAP FND,India,Open-End Fund,12.229,,-3.53,0.696,14.316,-10.132,,,,23.04,,,,,,,656,,
ADBSLRD IN Equity,,,,ADI BIR SUN LF BS 500 Q50-RD,India,Open-End Fund,10.208,,,,,,,,,,,0,,,,,16,,
ADBSNAI IN Equity,2053,,5705038,ADITYA BRL SN INS NF AL50 ID,India,Open-End Fund,8.751,,-3.152,-1.022,12.14,-16.443,,,,25.462,1.012,,,,,19.619,435,,
AIGINRG IN Equity,23876.992,,923850,KOTAK INFRA AND ECO FUND-RG,India,Open-End Fund,64.27,2,-2.196,-0.384,17.888,-8.549,78.31,33.183,1.071,25.812,58.485,0,,0.895,0,0.818,6391,-1.69,0.275
ALCAPTA IN Equity,154569.844,,2966087,ADITYA BRL SL ELSS TAX SVR F,India,Open-End Fund,197.55,1.68,-0.126,2.826,15.58,0.289,31.097,10.933,0.318,14.872,18.381,0,,0.962,0,0.922,10743,-23.54,-0.44
ALLAFEG IN Equity,302345.469,,3934228,ADITYA BIRL SN LIF LRG CP-RG,India,Open-End Fund,522.95,1.63,-0.538,0.232,11.677,-0.296,52.153,21.078,0.831,13.881,29.184,1,,0.78,0,0.99,8370,-7.543,0.164
ALLEQGR IN Equity,231270.516,,1534968,ADITYA BR SUN LIFE FLX CP-RG,India,Open-End Fund,1773.52,1.67,-0.11,0.475,13.088,0.883,59.508,22.114,0.912,14.906,28.503,2,,0.938,0,0.676,9862,4.871,0.124
ALLNEWG IN Equity,46700.809,,2970378,ABSL DIGITAL INDIA FUND-RG,India,Open-End Fund,168.9,1.89,0.674,0.119,1.326,-7.851,45.44,23.207,0.432,17.209,20.259,1,,0.96,0,1.616,9315,7.65,0.187
AMDCPRG IN Equity,4907.274,,736502.625,AXIS MIDCAP 50 INDEX FUND-RG,India,Open-End Fund,18.978,1.03,-1.918,0.287,14.73,-3.749,84.739,,1.179,19.358,19.783,0.25,,0.991,0,0.763,1245,-10.316,-0.141
AN100RG IN Equity,19466.094,,3963988,AXIS NIFTY 100 INDEX FUND-RG,India,Open-End Fund,21.537,0.92,-0.383,-0.633,10.515,-2.642,41.922,18.882,0.574,14.194,26.172,0,,0.997,0,1.187,2135,-4.146,-0.078
AN500RG IN Equity,2945.403,,2268266,AXIS NIFTY 500 IND-REG GROW,India,Open-End Fund,9.853,1,-0.974,-0.295,11.737,-3.351,,,,15.476,29.674,,,,,1.052,407,,
AN50IRG IN Equity,2029.847,,1331099,ABSL NIFTY NEXT 50 INDEX-RG,India,Open-End Fund,16.178,0.88,-0.289,-0.581,12.794,-10.893,53.116,,0.671,20.691,38.949,,,0.998,,0.957,1283,-5.553,-0.098
ANF50RG IN Equity,7488.736,,5159110,AXIS NIFTY 50 INDEX FUND -RG,India,Open-End Fund,14.739,0.42,-0.362,-0.524,10.234,-0.379,43.504,,0.623,13.014,23.68,0,,0.995,0,1.233,1358,-2.159,-0.036
ANN50RG IN Equity,3708.366,,1331099,AXIS NIFTY NEXT 50 INDEX-RG,India,Open-End Fund,16.115,1.01,-0.304,-0.639,12.643,-10.695,53.893,,0.687,20.535,39.012,0,,0.988,,0.957,1302,-8.307,-0.125
ANNTMRG IN Equity,438.731,,1971737,ANGEL ONE NIF TOT MRT INX-RG,India,Open-End Fund,11.473,1.03,-1.078,-0.322,,,,,,,30.001,,,,,1.033,175,,
ANONIDG IN Equity,354.323,,5001495,ANGEL ONE NIF 50 IND FN-DG,India,Open-End Fund,10.103,0.2,-0.336,,,,,,,,23.599,,,,,1.239,91,,
ANSDQRG IN Equity,1799.798,,3726769,AXIS NASDAQ 100 FOF - RG,India,Open-End Fund,21.695,0.6,3.472,13.328,7.925,23.562,,,,17.95,24.678,0,,,0,0.677,1023,,
APPMIDG IN Equity,37555.984,,425542.094,ADITYA BIRLA MNC FUND-B RG,India,Open-End Fund,1371.4,2,-0.079,4.563,16.028,-2.965,41.475,14.644,0.527,17.469,45.131,1,,0.873,0,1.042,9519,-15.581,-0.002
APSUERG IN Equity,54183.234,,2706476,ADITYA BIRL-PSU EQY-RG,India,Open-End Fund,31.34,1.8,-3.924,-5.088,11.017,-13.806,102.455,33.498,1.216,21.891,11.405,1,,0.951,0,2.52,2065,-23.555,-0.137
ARELACC IN Equity,2350,,1654485,BANDHAN LIFE ULIP ACCELERATR,India,Open-End Fund,49.477,,0.023,1.533,14.103,0.752,59.24,21.718,0.946,14.171,17.353,,,,,1.194,5461,,
ARELBCE IN Equity,1911.2,,4390195,BANDHAN LIFE ULIP BL CHIP EQ,India,Open-End Fund,31.154,,-0.996,-0.305,7.625,-5.822,46.378,19.97,0.739,12.545,13.422,,,,,1.039,3904,,
ARELDIS IN Equity,1067.29,,,BANDHAN LIFE ULIP DISC PY FD,India,Open-End Fund,23.835,,0.403,1.251,2.646,5.844,18.404,4.864,-5.906,0.148,,,,,,,4873,,
ARELEEF IN Equity,1231.5,,2371709,BANDHAN LIFE ULIP ENHANCD EQ,India,Open-End Fund,72.217,,-0.152,1.274,13.237,1.029,62.662,22.502,1.042,13.363,16.481,,,,,1.236,6242,,
ARELGRE IN Equity,108.8,,2371709,BANDHAN LIFE ULIP GROUP EQTY,India,Open-End Fund,61.924,,-0.052,1.547,13.959,2.23,68.069,23.648,1.152,13.379,16.454,,,,,1.238,5273,,
ARELOPP IN Equity,2353.9,,253865.5,BANDHAN LIFE ULIP OPPORTUNTY,India,Open-End Fund,39.979,,-3.847,-0.221,10.763,-9.215,68.922,30.737,1.096,17.716,20.708,,,,,0.757,3103,,
ARELPEF IN Equity,187,,2371709,BAND LIF ULI PEN ENH EQT FND,India,Open-End Pension,114.661,,-0.372,1.043,13.05,0.804,62.007,22.361,1.038,13.341,16.507,,,,,1.238,6064,,
ARELPIF IN Equity,67.7,,5328512,BANDH LIFE ULIP PENS IDX FND,India,Open-End Pension,88.586,,-0.5,-0.826,9.574,-1.379,39.535,18.128,0.54,12.935,24.518,,,0.622,,1.145,6063,-53.068,-0.238
ARELSTA IN Equity,187.8,,3256801,BANDHAN LIFE ULIP STABL FUND,India,Open-End Fund,32.989,,-1.467,-1.907,3.771,-6.513,34.298,12.406,0.526,9.421,21.992,,,,,0.74,5461,,
ASENXDD IN Equity,479.524,,5923790,AXIS SP BSE SENSX ID-DR IDCW,India,Open-End Fund,11.255,0.1,-0.699,-0.95,9.17,-0.109,,,,12.337,20.582,,,,,1.173,545,,
ASMCIRG IN Equity,5287.698,,250310.797,AXIS NFTY SMALLCAP INDX- RG,India,Open-End Fund,17.472,1.02,-4.443,-0.467,12.82,-7.956,86.133,,1.065,22.663,102.605,,,0.99,,0.669,1261,-16.554,-0.222
AVUENH2 IN Equity,10272.9,,11186000,AVIVA ULIP ENHANCER II,India,Open-End Fund,55.447,,-0.525,-0.864,9.308,-2.018,40.276,19.685,0.561,13.133,22.19,,,0.942,,1.125,5714,-2.508,0.033
AVUENHR IN Equity,618.3,,11186000,AVIVA UNIT LINKED ENHANCER,India,Open-End Fund,56.191,,-0.581,-1.006,8.853,-2.458,39.07,19.381,0.533,13.004,22.124,,,0.952,,1.139,6419,-3.715,-0.001
AVUGGWT IN Equity,254.1,,12495790,AVIVA ULIP GRP-GROWTH,India,Open-End Fund,61.904,,-0.802,-1.056,6.979,2.175,33.592,13.673,0.598,8.234,20.39,,,,,1.058,6981,,
AVUGRW2 IN Equity,1714,,12495790,AVIVA ULIP GROWTH FUND II,India,Open-End Fund,43.065,,-0.697,-1.107,7.995,-0.053,35.432,16.099,0.534,10.615,20.417,,,,,1.067,5714,,
AVUIDX2 IN Equity,748.3,,12495790,AVIVA ULIP INDEX FUND II,India,Open-End Fund,45.774,,-0.497,-0.755,9.688,-1.641,40.87,19.444,0.577,13.173,16.9,,,,,1.228,5714,,
AVUINDX IN Equity,580.1,,12495790,AVIVA UNIT LINKED INDEX,India,Open-End Fund,43.653,,-0.42,-0.566,10.117,-0.882,44.335,20.199,0.652,13.168,16.807,,,0.948,,1.227,6447,1.551,0.107
AVUINFR IN Equity,712.7,,3437953,AVIVA ULIP INFRASTRUCTURE,India,Open-End Fund,36.617,,-0.749,0.292,14.253,-4.985,70.951,29.905,1.041,18.383,15.16,,,0.967,,1.162,5714,-9.049,-0.081
AVULPSU IN Equity,1942.1,,2859471,AVIVA UNIT LINKED PSU FUND,India,Open-End Fund,40.116,,-4.063,-5.431,13.573,-14.108,110.863,37.554,1.257,24.505,7.543,,,,,3.308,5600,,
AVUPENU IN Equity,1202.7,,12495790,AVIVA PENSION UL INDEX,India,Open-End Pension,53.741,,-0.429,-0.564,10.131,-0.833,44.229,20.198,0.649,13.164,16.783,,,0.953,,1.227,6427,1.444,0.1
AVUPIFR IN Equity,46.2,,3437953,AVIVA ULIP PENSION INFRSTR,India,Open-End Pension,37.049,,-0.796,0.165,14.019,-5.127,70.046,29.733,1.027,18.358,15.172,,,,,1.163,5714,,
AVUPIX2 IN Equity,274,,12495790,AVIVA ULIP PEN INDEX FUND II,India,Open-End Pension,51.213,,-0.406,-0.613,10.009,-1.151,42.488,19.858,0.613,13.178,16.764,,,0.94,,1.227,5714,-0.297,0.079
AVUPPSU IN Equity,108.7,,2859471,AVIVA ULIP PENSION PSU FUND,India,Open-End Pension,41.736,,-4.097,-5.489,13.527,-14.076,114.002,38.018,1.286,24.477,7.544,,,,,3.308,5714,,
AXBCYRG IN Equity,23306.48,,1459893,AXIS BUSINESS CYCLES FUND-RG,India,Open-End Fund,16.38,2.01,-0.426,1.236,15.028,-1.681,,,,17.138,35.822,,,,,0.756,912,,
AXCOFRD IN Equity,40627.496,,2236295,AXIS CONSUMPTION FUND-RE IDC,India,Open-End Fund,9.73,1.86,3.181,5.303,13.271,,,,,,28.886,,,,,0.827,343,,
AXENARG IN Equity,70691.766,,1054407,AXIS ENHANCED ARBITRAGE-RG,India,Open-End Fund,18.858,1.02,0.442,1.531,3.3,6.697,22.15,5.553,-0.403,0.325,32.982,0.25,,,0,0.762,4024,22.15,
AXESGRG IN Equity,12325.105,,2602874,AXIS ESG INTEGRATN STRTGY-RG,India,Open-End Fund,21.19,2.24,-0.235,0.474,7.509,-4.118,40.146,16.194,0.522,13.358,19.053,0,,0.837,0,0.803,2017,-6.402,0.076
AXF25RG IN Equity,125851.219,,2284538,AXIS FOCUSED FUND- RG,India,Open-End Fund,55.01,1.74,-0.56,1.103,13.353,1.252,31.792,15.522,0.312,15.455,24.965,1,,0.915,0,0.655,4801,-22.845,-0.384
AXGEARG IN Equity,10368.113,,34814520,AXIS GLOBAL EQY ALPHA-RG,India,Open-End Fund,20.46,1.63,1.797,11.463,10.515,22.039,68.587,,0.996,14.405,23.846,1,,0.879,0,1.343,1791,-4.313,0.155
AXGOFRG IN Equity,150400.562,,1056982,AXIS LARGE & MID CAP FUND-RG,India,Open-End Fund,32.82,1.69,1.296,4.157,13.29,1.484,60.02,24.087,0.938,14.363,28.23,0,0,0.83,0,0.685,2496,12.543,0.465
AXIMFRG IN Equity,53447.668,,1153083,AXIS INDIA MANUFACTURI FD-RG,India,Open-End Fund,13.67,1.82,-0.364,1.409,14.971,-5.659,,,,18.711,31.686,,,,,0.643,609,,
AXIMODG IN Equity,13082.916,,985837.812,AXIS MOMENTUM FUND-DG,India,Open-End Fund,9.06,0.54,-2.894,-0.11,11.029,,,,,,22.759,,,,,0.514,252,,
AXINIRG IN Equity,843.48,,985837.812,AXIS NIFTY500 MOM 50 IND-RG,India,Open-End Fund,10.527,1.06,-2.615,-2.495,8.765,,,,,,23.859,,,,,0.323,190,,
AXINVRG IN Equity,867.543,,1748426,AXIS NIF500 VALUE 50 IDX-RG,India,Open-End Fund,9.641,1.06,-2.27,-1.444,11.163,,,,,,12.365,,,,,2.474,301,,
AXISORG IN Equity,19951.623,,2284538,AXIS SERVICES OPPORT FD-RG,India,Open-End Fund,9.98,2.03,,,,,,,,,19.306,,,,,0.561,28,,
AXMCFRG IN Equity,85159.57,,807102.187,AXIS MULTI CAP FUND - REG GR,India,Open-End Fund,17.67,1.78,-0.338,2.198,12.98,-0.619,80.122,,1.244,17.208,34.641,,,0.906,0,0.574,1343,15.203,0.343
AXMDCPG IN Equity,313839.25,,650447.687,AXIS MIDCAP FUND-RG,India,Open-End Fund,112.97,1.56,0.106,3.339,17.079,0.329,64.679,24.917,0.949,18.489,45.646,0,,0.828,0,0.501,5298,-18.61,-0.035
AXMULRG IN Equity,131657.016,,2284538,AXIS FLEXI CAP FUND - RG,India,Open-End Fund,26.53,1.72,-1.339,1.804,14.7,1.26,46.818,18.79,0.67,17.219,33.496,0,,0.925,0,0.595,2833,-7.819,-0.062
AXNBIDD IN Equity,1425.541,,7352649,AXIS NIFTY BANK INDEX FUN-DD,India,Open-End Fund,11.223,0.17,-3.474,-1.447,12.809,7.243,,,,12.176,5.253,,,,,0.774,455,,
AXSEQRG IN Equity,338336.469,,3983147,AXIS LARGE CAP FUND-RG,India,Open-End Fund,60.38,1.58,0.149,0.6,9.702,-0.264,37.196,15.778,0.459,13.613,24.545,1,,0.891,0,0.841,5711,-12.321,-0.153
AXSPFRG IN Equity,11907.365,,1270946,AXIS INNOVATION FUND-R G,India,Open-End Fund,18.75,2.25,0.752,4.109,12.952,2.124,51.699,-0.68,0.766,14.157,36.298,0,,0.776,0,0.475,4617,-5.348,0.176
AXSSCRG IN Equity,261426.469,,,AXIS SMALL CAP FUND RG,India,Open-End Fund,104.63,1.6,-2.306,1.632,14.55,-0.749,67.892,30.716,1.093,18.731,,0,,0.696,0,,4289,-17.144,0.247
AXTAXSG IN Equity,351724.969,,2236295,AXIS ELSS TAX SAVER FUND-RG,India,Open-End Fund,96.187,1.53,-0.11,0.96,11.311,0.598,41.187,17.911,0.544,14.077,27.957,0,,0.882,0,0.797,5718,-13.45,-0.125
AXVALRG IN Equity,10421.656,,1433321,AXIS VALUE FUND - RG,India,Open-End Fund,18.23,2.22,-0.546,1.165,10.956,-2.929,79.783,,1.243,14.849,30.478,1,,0.978,0,0.874,1429,25.146,0.451
BAARBRG IN Equity,421.541,,1211295,BOI ARBITRAGE FUND-RG,India,Open-End Fund,13.909,0.94,0.427,1.416,3.001,6.282,20.014,4.612,-2.057,0.326,47.224,10,,0.506,0,0.432,2625,-4.023,0.201
BAFNIDD IN Equity,99.106,,1331099,BAJ FIN NIF NE 50 IND FN-DD,India,Open-End Fund,10.66,0.3,-0.248,-0.598,,,,,,,38.942,,,,,0.957,105,,
BAINFRD IN Equity,16820.045,,584815.375,BANDHAN INNOVATION FUND-RD,India,Open-End Fund,12.922,2.05,1.111,6.04,18.67,5.684,,,,20.33,36.014,,,,,0.307,482,,
BAJFCRD IN Equity,6017.859,,599559.312,BAJAJ FINSERV CONSUMPT FD-RD,India,Open-End Fund,9.663,2.31,0.93,1.727,10.019,,,,,,55.275,,,,,0.628,267,,
BAJFERG IN Equity,609.973,,1153083,BAJA FINS ELS TAX SAV FD-RG,India,Open-End Fund,10.971,2.29,-1.216,-0.616,10.007,,,,,,29.452,,,,,0.85,205,,
BAJFNDD IN Equity,79.14,,5001495,BAJ FIN NIFTY 50 IND FN-DD,India,Open-End Fund,10.043,0.25,-0.357,-0.628,,,,,,,23.642,,,,,1.234,100,,
BAJUAM2 IN Equity,56805.602,,738806.812,BAJAJ ALLIANZ ACC MIDCAP FD2,India,Open-End Fund,80.832,,-1.529,0.631,11.192,-7.63,59.305,23.44,0.87,18.309,31.792,,,0.889,,0.631,5714,-33.297,-0.296
BAJUAMC IN Equity,5217.5,,549549.125,BAJAJ-ACCELERATED MID CAP,India,Open-End Fund,135.604,,-1.773,0.476,11.91,-9.218,55.655,23.523,0.801,19.977,123.352,,,0.907,,0.701,6988,-36.947,-0.379
BAJUAMP IN Equity,376.8,,568438.625,BAJAJ-ACCELERATED MID CAP PE,India,Open-End Pension,150.984,,-1.541,0.671,12.756,-8.457,60.192,24.774,0.858,20.515,248.014,,,0.925,,1.086,6974,-32.411,-0.336
BAJUBLU IN Equity,33.3,,5054296,BAJAJ ALLIANZ GR BLUE CP FD,India,Open-End Fund,49.24,,0.097,-0.492,9.434,-2.049,45.669,19.229,0.682,12.926,24.295,,,,,1.215,4998,,
BAJUEG2 IN Equity,45710.699,,5054296,BAJAJ ALLIANZ EQ GROWTH FD2,India,Open-End Fund,71.649,,-0.768,-1.438,8.848,-3.759,39.087,17.981,0.561,13.355,14.505,,,0.943,,1.213,5714,-3.697,0.036
BAJUEGP IN Equity,532.6,,5231528,BAJAJ-EQUITY GROWTH PENSION,India,Open-End Pension,102.25,,-1.384,-1.992,8.196,-3.847,38.492,18.153,0.569,13.002,15.174,,,0.948,,1.144,6974,-4.292,0.034
BAJUEGW IN Equity,25769.699,,5054296,BAJAJ-EQUITY GROWTH FUND,India,Open-End Fund,86.686,,-0.937,-1.955,8.352,-3.8,38.252,17.628,0.546,13.254,16.042,,,,,1.181,6988,,
BAJUEMC IN Equity,711.9,,558344.187,BAJAJ-MIDCAP,India,Open-End Fund,141.199,,-1.81,0.338,11.722,-10.425,51.198,22.075,0.717,20.483,114.408,,,,,1.076,7476,,
BAJUEMP IN Equity,1525.8,,571901.875,BAJAJ-MID CAP PLUS,India,Open-End Fund,223.543,,-2.045,0.038,10.991,-9.085,57.606,24.008,0.845,19.359,156.163,,,,,0.702,7476,,
BAJUEQF IN Equity,1774.2,,4301637,BAJAJ-EQUITY FUND,India,Open-End Fund,101.464,,-0.167,-0.811,8.985,-2.803,39.066,17.771,0.523,13.246,8.811,,,,,2.631,7895,,
BAJUEQG IN Equity,3570.3,,5047294,BAJAJ-EQUITY GAIN,India,Open-End Fund,158.977,,-1.363,-2.403,7.099,-5.222,32.579,16.139,0.424,12.791,10.394,,,0.943,,2.066,7722,-10.206,-0.091
BAJUEQI IN Equity,345.6,,5054296,BAJAJ ALLIANZ GR EQU INDE FD,India,Open-End Fund,46.174,,-0.008,-0.609,9.388,-2.444,42.432,18.152,0.59,13.442,23.8,,,,,1.216,5668,,
BAJUEQT IN Equity,539.5,,5054296,BAJAJ ALLIANZ GRP EQUITY FD,India,Open-End Fund,54.084,,-1.237,-1.832,7.693,-3.448,38.333,17.58,0.574,12.203,16.115,,,,,1.15,5181,,
BAJUGR2 IN Equity,0.1,,,BAJAJ ALLIANZ GRP GROW FD II,India,Open-End Fund,156.163,,-0.103,-0.297,-0.587,600.532,678.683,221.133,1.58,596.323,,,,,,,4998,,
BAJUPEF IN Equity,120.9,,5047294,BAJAJ-PREMIER EQUITY FUND,India,Open-End Fund,74.48,,-0.146,-0.806,8.975,-2.898,39.233,17.77,0.528,13.212,14.992,,,0.938,,1.77,7194,-3.551,0.009
BAJUPEG IN Equity,251.9,,5054296,BAJAJ-PREMIER EQUITY GAIN,India,Open-End Fund,103.532,,-1.422,-2.461,6.846,-5.563,33.131,16.388,0.442,12.705,15.32,,,0.938,,1.16,7194,-9.654,-0.072
BAJUPEQ IN Equity,482.1,,2604299,BAJAJ-PURE EQUITY FUND,India,Open-End Fund,159.902,,0.672,0.251,10.308,-5.185,57.257,19.746,0.894,14.436,21.599,,,0.86,,1.187,7194,14.472,0.449
BAJUPQG IN Equity,66.8,,5054296,BAJAJ-PREMIER EQUITY GROWTH,India,Open-End Fund,75.446,,-0.632,-1.743,6.583,-5.126,32.796,16.009,0.404,12.462,16.31,,,,,1.244,6977,,
BAJUPS2 IN Equity,48065.801,,2616647,BAJAJ-PURE STOCK FUND II,India,Open-End Fund,26.602,,0.593,0.096,9.553,-5.351,54.47,18.612,0.817,14.551,19.658,,,0.882,,1.338,3032,11.686,0.367
BAJUPSF IN Equity,72413.5,,2495586,BAJAJ-PURE STOCK FUND,India,Open-End Fund,153.783,,0.622,0.107,9.438,-5.084,57.271,18.829,0.873,14.283,14.103,,,0.891,,1.804,6977,14.487,0.409
BAJUPSP IN Equity,79.9,,1044071,BAJAJ ALLIANZ PURE ST PEN FD,India,Open-End Pension,96.736,,1.533,-0.163,9.921,-10.694,46.29,14.728,0.618,14.884,20.966,,,0.842,,1.271,6343,3.505,0.257
BAJUQF2 IN Equity,16436.199,,4301637,BAJAJ-EQUITY INDEX FUND II,India,Open-End Fund,79.881,,0.01,-0.554,9.44,-2.398,43.558,18.822,0.617,13.31,10.796,,,,,2.342,6988,,
BAJUQIF IN Equity,1002.8,,5054296,BAJAJ-EQUITY INDEX,India,Open-End Fund,164.38,,-0.025,-0.432,9.986,-1.447,45.4,19.42,0.663,13.342,22.632,,,,,1.232,7705,,
BAJUQIP IN Equity,36.3,,5054296,BAJAJ-EQUITY INDEX PENSION,India,Open-End Pension,146.057,,0.105,-0.344,9.916,-1.872,44.605,19.258,0.639,13.505,23.214,,,0.952,,1.229,7587,1.821,0.1
BAJUQP2 IN Equity,789.1,,5054296,BAJAJ-EQY INDEX PENSION FUND,India,Open-End Pension,83.54,,0.071,-0.513,9.617,-2.086,42.778,18.946,0.596,13.604,23.785,,,0.942,,1.221,6974,-0.007,0.072
BAJUQPF IN Equity,5862.5,,5231528,BAJAJ-EQUITY PLUS,India,Open-End Fund,201.527,,-1.003,-1.748,7.935,-3.479,38.664,17.836,0.568,12.472,17.225,,,0.95,,1.151,7705,-4.121,0.024
BAJUQPP IN Equity,230,,5231528,BAJAJ-EQUITY PLUS PENSION,India,Open-End Pension,214.1,,-1.508,-2.532,7.605,-4.276,37.463,17.957,0.544,13.013,14.93,,,0.946,,1.189,7587,-5.321,0.014
BALNMRG IN Equity,16204.137,,957495,BAR BNP PAR L&M CA F-RG,India,Open-End Fund,26.453,2.1,-1.092,0.13,11.496,-5.726,63.851,,0.954,17.451,38.843,0,,0.989,0,0.817,1811,12.291,0.25
BAMCPIN IN Equity,4605.4,,604800,BAJAJ ALNZ ULIP MDCP IDX-INR,India,Open-End Fund,12.673,,-1.79,0.49,14.065,-4.207,,,,18.941,29.656,,,,,0.69,638,,
BAN2QDG IN Equity,117.609,,1791747,BANDHAN N200 QUA 30 IND-DG,India,Open-End Fund,9.67,0.33,2.115,-0.461,9.53,,,,,,25.534,,,,,2.034,265,,
BAN50RG IN Equity,195.16,,1331099,BAND NIF NEXT 50 IND FN-RG,India,Open-End Fund,11.69,1,-0.31,-0.634,,,,,,,38.944,,,,,0.957,176,,
BANAIRG IN Equity,5018.787,,695321.125,BANDH NIF ALP 50 INDEX FD-RG,India,Open-End Fund,13.1,1.02,-3.481,-0.273,11.875,-17.034,,,,25.07,77.902,,,,,0.282,656,,
BANAL50 IN Equity,5797.3,,712304.312,BAJ AL ULI NIF ALP 50 IN-INR,India,Open-End Fund,8.439,,-2.924,-0.515,13.326,-15.043,,,,25.745,59.394,,,,,0.324,408,,
