"Ticker","Tot_Asset_M","Creation / Redemption Fee","Median_Mkt_Cap_M","Name","Domicile","Fund_Type","NAV","Expense_Ratio","Tot_Ret_1M","Tot_Ret_3M","Tot_Ret_6M","Tot_Ret_1Y","Tot_Ret_3Y","Mean_Ret_5Y_Ann","Sharpe_3Y","Std_Dev_1Y-M","Avg_Price_Cash_Flow","Back Load","Front End Load","Beta_3Y","Front Load","Avg_Dvd_Yield","History_Length","Ret_Vs_Idx_3Y","Alpha_3Y"
HSBTASG IN Equity,2445.969,,985837.812,HSBC TAX SAVER EQUITY FUN-RG,India,Open-End Fund,93.974,2.5,-1.732,1.702,14.337,4.04,67.591,24.161,1.021,18.115,42.259,0,,0.944,0,0.526,6809,12.954,0.3
HSFISDD IN Equity,6831.704,,832220.125,HSBC FINANCI SERVIC FN-DD,India,Open-End Fund,11.274,1.01,-2.529,-0.275,,,,,,,,,,,,0.95,176,,
HSLMERG IN Equity,43665.449,,1018913,HSBC LARGE &MID CAP FD REG-G,India,Open-End Fund,26.694,1.9,0.963,3.81,16.181,-2.844,71.225,24.342,0.904,22.085,58.179,0,,1.013,0,0.489,2337,6.948,0.017
HSMLCRG IN Equity,50053.945,,698187.687,HSBC MULTI CAP FUND - RG,India,Open-End Fund,18.497,1.88,0.243,2.365,14.509,-2.821,,,,18.171,,,,,,0.775,936,,
HSMSMDP IN Equity,631.067,,868.393,HSBC MANAGED SOLN MODERTE-DP,India,Unit Trust,28.895,0,1.118,4.349,4.566,-2.922,19.249,11.434,-0.031,12.665,355.451,1,,,0,0.489,4136,19.249,
HTALGRG IN Equity,14509.795,,1191101,HDFC TRNSPT LGSTC FUND-RG,India,Open-End Fund,17.273,2.15,5.956,12.903,25.367,4.318,,,,18.164,33.847,,,,,0.779,741,,
HTECHRG IN Equity,13752.036,,1513161,HDFC TECHNOLOGY FD-REG GRWTH,India,Open-End Fund,13.433,2.15,0.569,-0.849,1.167,-4.214,,,,17.392,18.981,,,,,1.618,719,,
IBADVFD IN Equity,25661.5,,1842622,ICICI PRU ULIP BALANCED ADV,India,Open-End Fund,14.711,,-0.554,-0.022,9.054,0.441,45.658,,0.821,10.733,5.263,,,,,0.841,1465,,
IBCONRG IN Equity,31999,,2970378,ICICI PRU BHARAT CONS-RG,India,Open-End Fund,25.76,1.99,2.507,4.207,12.391,-1.567,62.115,21.926,0.891,15.674,26.251,,,0.802,,1.146,2326,1.16,0.26
IBFISRG IN Equity,3100.741,,3934228,ITI BANKING & FIN SERV - RG,India,Open-End Fund,14.648,2.38,-2.661,-1.539,13.239,7.161,41.053,,0.638,12.782,,,,0.937,,0.826,1357,-11.553,-0.135
IC500RD IN Equity,302.587,,2268266,ICICI PRUD NIFT 500 IND-RD,India,Open-End Fund,10.222,0.88,-0.964,-0.297,11.484,,,,,,29.633,,,,,1.049,247,,
ICDYERG IN Equity,57345.621,,3313740,ICICIPRU-DIV YIELD EQTY -RG,India,Open-End Fund,52.32,1.82,0.596,1.356,11.747,-0.267,87.058,30.403,1.473,13.485,13.469,1,,0.853,0,1.577,4118,32.421,0.694
ICESGRG IN Equity,15067.189,,2776938,ICICI PRU ESG EXCL STRA-G,India,Open-End Fund,22.04,2.15,-0.944,-0.899,10.035,-1.299,67.477,,1.151,14.543,24.65,1,,0.863,0,0.855,1780,20.93,0.585
ICINVDG IN Equity,70257.07,,1459779,ICICI PRU INNVOATION FUND DG,India,Open-End Fund,19.04,0.68,1.709,3.535,15.745,4.215,,,,15.199,22.239,,,,,0.862,848,,
ICIPFE1 IN Equity,218641,,3081072,ICICI PF SCHEME E TIER 1,India,Open-End Pension,72.089,0.08,-0.84,-0.152,10.967,-2.274,55.618,22.367,0.907,14.209,25.756,,,,,1.119,2388,,
ICIPFE2 IN Equity,6659.222,,3081072,ICICI PF SCHEME E TIER 2,India,Open-End Pension,56.839,0.08,-0.812,-0.146,10.978,-1.997,55.103,21.635,0.898,14.157,25.756,,,,,1.111,2388,,
ICIPMRG IN Equity,36804.133,,4094845,ICICI PRU EQU MINI VAR-RG,India,Open-End Fund,10.52,1.91,1.446,0.478,11.323,,,,,,14.888,,,,,1.632,261,,
ICIPORD IN Equity,17086.951,,3241111,ICICI PRUDENT RU OPPORT-RD,India,Open-End Fund,11.3,2.11,2.448,3.48,16.615,,,,,,14.532,,,,,1.376,210,,
ICIPWRG IN Equity,1298.187,,2800376,ICICI PRU N50 EQU WET IDX-RG,India,Open-End Fund,16.021,1,0.793,0.51,11.227,-2.312,,,,14.895,26.164,,,,,1.392,1058,,
ICMNCRG IN Equity,16766.145,,975845.812,ICICI PRUDENTIAL-MNC FUND-RG,India,Open-End Fund,28.31,2.13,1.47,3.738,9.814,-4.872,47.525,21.885,0.672,13.638,27.064,1,,0.761,0,1.123,2262,-9.531,0.179
